EmployeeID,FirstName,LastName,Email,Department,Designation,StoreID,HireDate,Salary,ManagerID,LastModifiedDate,IsActive
EMP0001,Harsh,Patel,harsh.patel1@enterpriseretail.com,Operations,Store Manager,STR0001,2019-04-13,1162817,,2026-07-05 19:19:45.537579,True
EMP0002,Akash,Nair,akash.nair2@enterpriseretail.com,Operations,Store Supervisor,STR0001,2025-08-12,673443,EMP0001,2026-07-05 19:19:45.537594,True
EMP0003,Amit,Nair,amit.nair3@enterpriseretail.com,Sales,Senior Sales Associate,STR0001,2020-04-16,576095,EMP0001,2026-07-05 19:19:45.537604,True
EMP0004,Harsh,Jain,harsh.jain4@enterpriseretail.com,Sales,Sales Associate,STR0001,2025-08-15,440395,EMP0001,2026-07-05 19:19:45.537611,True
EMP0005,Nikhil,Sharma,nikhil.sharma5@enterpriseretail.com,Sales,Sales Associate,STR0001,2019-12-12,402031,EMP0001,2026-07-05 19:19:45.537618,True
EMP0006,Karan,Joshi,karan.joshi6@enterpriseretail.com,Sales,Sales Associate,STR0001,2023-08-08,358500,EMP0001,2026-07-05 19:19:45.537627,True
EMP0007,Priya,Mehta,priya.mehta7@enterpriseretail.com,Finance,Cashier,STR0001,2021-05-15,328931,EMP0001,2026-07-05 19:19:45.537632,True
EMP0008,Rahul,Nair,rahul.nair8@enterpriseretail.com,Finance,Cashier,STR0001,2021-07-03,304820,EMP0001,2026-07-05 19:19:45.537638,True
EMP0009,Priya,Kapoor,priya.kapoor9@enterpriseretail.com,Inventory,Inventory Executive,STR0001,2019-03-07,530512,EMP0001,2026-07-05 19:19:45.537643,True
EMP0010,Simran,Sharma,simran.sharma10@enterpriseretail.com,Sales,Sales Associate,STR0001,2022-11-23,329938,EMP0001,2026-07-05 19:19:45.537649,True
EMP0011,Divya,Kapoor,divya.kapoor11@enterpriseretail.com,Operations,Store Manager,STR0002,2018-08-10,872498,,2026-07-05 19:19:45.537720,True
EMP0012,Ankit,Kulkarni,ankit.kulkarni12@enterpriseretail.com,Operations,Store Supervisor,STR0002,2023-04-20,568218,EMP0011,2026-07-05 19:19:45.537728,True
EMP0013,Pooja,Iyer,pooja.iyer13@enterpriseretail.com,Sales,Senior Sales Associate,STR0002,2021-02-07,486090,EMP0011,2026-07-05 19:19:45.537735,True
EMP0014,Neha,Jain,neha.jain14@enterpriseretail.com,Sales,Sales Associate,STR0002,2021-05-27,431592,EMP0011,2026-07-05 19:19:45.537741,True
EMP0015,Pooja,Sharma,pooja.sharma15@enterpriseretail.com,Sales,Sales Associate,STR0002,2022-12-20,376064,EMP0011,2026-07-05 19:19:45.537746,True
EMP0016,Ankit,Gupta,ankit.gupta16@enterpriseretail.com,Sales,Sales Associate,STR0002,2019-12-09,383184,EMP0011,2026-07-05 19:19:45.537751,True
EMP0017,Karan,Iyer,karan.iyer17@enterpriseretail.com,Finance,Cashier,STR0002,2020-02-25,426425,EMP0011,2026-07-05 19:19:45.537756,True
EMP0018,Harsh,Das,harsh.das18@enterpriseretail.com,Finance,Cashier,STR0002,2024-08-08,335204,EMP0011,2026-07-05 19:19:45.537761,True
EMP0019,Pooja,Mehta,pooja.mehta19@enterpriseretail.com,Inventory,Inventory Executive,STR0002,2017-12-23,483537,EMP0011,2026-07-05 19:19:45.537766,True
EMP0020,Amit,Gupta,amit.gupta20@enterpriseretail.com,Sales,Sales Associate,STR0002,2016-06-14,305999,EMP0011,2026-07-05 19:19:45.537771,True
EMP0021,Meera,Sharma,meera.sharma21@enterpriseretail.com,Operations,Store Manager,STR0003,2024-12-19,989117,,2026-07-05 19:19:45.537849,True
EMP0022,Priya,Gupta,priya.gupta22@enterpriseretail.com,Operations,Store Supervisor,STR0003,2025-02-21,602064,EMP0021,2026-07-05 19:19:45.537855,True
EMP0023,Arjun,Sharma,arjun.sharma23@enterpriseretail.com,Sales,Senior Sales Associate,STR0003,2024-12-16,508702,EMP0021,2026-07-05 19:19:45.537863,True
EMP0024,Arjun,Iyer,arjun.iyer24@enterpriseretail.com,Sales,Sales Associate,STR0003,2021-11-02,343084,EMP0021,2026-07-05 19:19:45.537868,True
EMP0025,Nikhil,Khan,nikhil.khan25@enterpriseretail.com,Sales,Sales Associate,STR0003,2021-03-13,397218,EMP0021,2026-07-05 19:19:45.537873,True
EMP0026,Arjun,Verma,arjun.verma26@enterpriseretail.com,Sales,Sales Associate,STR0003,2020-01-01,306180,EMP0021,2026-07-05 19:19:45.537878,True
EMP0027,Karan,Mehta,karan.mehta27@enterpriseretail.com,Finance,Cashier,STR0003,2025-06-08,370462,EMP0021,2026-07-05 19:19:45.537883,True
EMP0028,Priya,Patel,priya.patel28@enterpriseretail.com,Finance,Cashier,STR0003,2023-01-16,325427,EMP0021,2026-07-05 19:19:45.537889,True
EMP0029,Pooja,Joshi,pooja.joshi29@enterpriseretail.com,Inventory,Inventory Executive,STR0003,2018-12-10,487493,EMP0021,2026-07-05 19:19:45.537893,True
EMP0030,Pooja,Nair,pooja.nair30@enterpriseretail.com,Sales,Sales Associate,STR0003,2018-01-08,386554,EMP0021,2026-07-05 19:19:45.537898,True
EMP0031,Nikhil,Joshi,nikhil.joshi31@enterpriseretail.com,Operations,Store Manager,STR0004,2015-11-22,817199,,2026-07-05 19:19:45.537949,True
EMP0032,Sneha,Kapoor,sneha.kapoor32@enterpriseretail.com,Operations,Store Supervisor,STR0004,2022-04-02,601037,EMP0031,2026-07-05 19:19:45.537955,True
EMP0033,Sanjay,Kapoor,sanjay.kapoor33@enterpriseretail.com,Sales,Senior Sales Associate,STR0004,2019-04-01,571354,EMP0031,2026-07-05 19:19:45.537962,True
EMP0034,Ananya,Kapoor,ananya.kapoor34@enterpriseretail.com,Sales,Sales Associate,STR0004,2025-01-04,304330,EMP0031,2026-07-05 19:19:45.537967,True
EMP0035,Riya,Patel,riya.patel35@enterpriseretail.com,Sales,Sales Associate,STR0004,2018-07-01,356263,EMP0031,2026-07-05 19:19:45.537972,True
EMP0036,Nikhil,Patel,nikhil.patel36@enterpriseretail.com,Sales,Sales Associate,STR0004,2016-08-03,410211,EMP0031,2026-07-05 19:19:45.537977,True
EMP0037,Priya,Jain,priya.jain37@enterpriseretail.com,Finance,Cashier,STR0004,2017-11-14,356786,EMP0031,2026-07-05 19:19:45.537982,True
EMP0038,Riya,Jain,riya.jain38@enterpriseretail.com,Finance,Cashier,STR0004,2021-10-20,391627,EMP0031,2026-07-05 19:19:45.537987,True
EMP0039,Akash,Singh,akash.singh39@enterpriseretail.com,Inventory,Inventory Executive,STR0004,2024-10-19,546410,EMP0031,2026-07-05 19:19:45.537991,True
EMP0040,Ananya,Iyer,ananya.iyer40@enterpriseretail.com,Sales,Sales Associate,STR0004,2016-08-02,355515,EMP0031,2026-07-05 19:19:45.537996,True
EMP0041,Amit,Kapoor,amit.kapoor41@enterpriseretail.com,Operations,Store Manager,STR0005,2022-11-22,1168163,,2026-07-05 19:19:45.538040,True
EMP0042,Ananya,Das,ananya.das42@enterpriseretail.com,Operations,Store Supervisor,STR0005,2021-06-20,624185,EMP0041,2026-07-05 19:19:45.538047,True
EMP0043,Nikhil,Verma,nikhil.verma43@enterpriseretail.com,Sales,Senior Sales Associate,STR0005,2022-08-17,570495,EMP0041,2026-07-05 19:19:45.538054,True
EMP0044,Sanjay,Singh,sanjay.singh44@enterpriseretail.com,Sales,Sales Associate,STR0005,2022-06-21,339807,EMP0041,2026-07-05 19:19:45.538059,True
EMP0045,Ananya,Verma,ananya.verma45@enterpriseretail.com,Sales,Sales Associate,STR0005,2016-04-15,324402,EMP0041,2026-07-05 19:19:45.538064,True
EMP0046,Karan,Jain,karan.jain46@enterpriseretail.com,Sales,Sales Associate,STR0005,2018-02-03,367418,EMP0041,2026-07-05 19:19:45.538069,True
EMP0047,Karan,Singh,karan.singh47@enterpriseretail.com,Finance,Cashier,STR0005,2024-05-06,398921,EMP0041,2026-07-05 19:19:45.538074,True
EMP0048,Pooja,Verma,pooja.verma48@enterpriseretail.com,Finance,Cashier,STR0005,2021-11-27,313633,EMP0041,2026-07-05 19:19:45.538079,True
EMP0049,Akash,Mehta,akash.mehta49@enterpriseretail.com,Inventory,Inventory Executive,STR0005,2019-11-28,547934,EMP0041,2026-07-05 19:19:45.538084,True
EMP0050,Sanjay,Patel,sanjay.patel50@enterpriseretail.com,Sales,Sales Associate,STR0005,2016-12-04,400466,EMP0041,2026-07-05 19:19:45.538089,True
EMP0051,Karan,Gupta,karan.gupta51@enterpriseretail.com,Operations,Store Manager,STR0006,2017-07-27,848151,,2026-07-05 19:19:45.538130,True
EMP0052,Ananya,Iyer,ananya.iyer52@enterpriseretail.com,Operations,Store Supervisor,STR0006,2019-03-10,739450,EMP0051,2026-07-05 19:19:45.538136,True
EMP0053,Ananya,Nair,ananya.nair53@enterpriseretail.com,Sales,Senior Sales Associate,STR0006,2021-04-19,574173,EMP0051,2026-07-05 19:19:45.538143,True
EMP0054,Ananya,Iyer,ananya.iyer54@enterpriseretail.com,Sales,Sales Associate,STR0006,2018-06-17,419556,EMP0051,2026-07-05 19:19:45.538148,True
EMP0055,Sanjay,Nair,sanjay.nair55@enterpriseretail.com,Sales,Sales Associate,STR0006,2016-10-10,398238,EMP0051,2026-07-05 19:19:45.538153,True
EMP0056,Ankit,Kapoor,ankit.kapoor56@enterpriseretail.com,Sales,Sales Associate,STR0006,2020-12-28,307042,EMP0051,2026-07-05 19:19:45.538158,True
EMP0057,Karan,Verma,karan.verma57@enterpriseretail.com,Finance,Cashier,STR0006,2025-05-04,315117,EMP0051,2026-07-05 19:19:45.538164,True
EMP0058,Meera,Reddy,meera.reddy58@enterpriseretail.com,Finance,Cashier,STR0006,2021-10-28,374089,EMP0051,2026-07-05 19:19:45.538170,True
EMP0059,Sneha,Nair,sneha.nair59@enterpriseretail.com,Inventory,Inventory Executive,STR0006,2021-03-01,407827,EMP0051,2026-07-05 19:19:45.538175,True
EMP0060,Divya,Reddy,divya.reddy60@enterpriseretail.com,Sales,Sales Associate,STR0006,2023-11-16,378739,EMP0051,2026-07-05 19:19:45.538181,True
EMP0061,Harsh,Singh,harsh.singh61@enterpriseretail.com,Operations,Store Manager,STR0007,2022-05-05,1135844,,2026-07-05 19:19:45.538223,True
EMP0062,Amit,Iyer,amit.iyer62@enterpriseretail.com,Operations,Store Supervisor,STR0007,2018-06-20,569249,EMP0061,2026-07-05 19:19:45.538229,True
EMP0063,Amit,Mehta,amit.mehta63@enterpriseretail.com,Sales,Senior Sales Associate,STR0007,2021-07-03,543879,EMP0061,2026-07-05 19:19:45.538236,True
EMP0064,Vikas,Reddy,vikas.reddy64@enterpriseretail.com,Sales,Sales Associate,STR0007,2018-02-16,300470,EMP0061,2026-07-05 19:19:45.538240,True
EMP0065,Riya,Iyer,riya.iyer65@enterpriseretail.com,Sales,Sales Associate,STR0007,2024-11-21,446180,EMP0061,2026-07-05 19:19:45.538246,True
EMP0066,Harsh,Mehta,harsh.mehta66@enterpriseretail.com,Sales,Sales Associate,STR0007,2019-09-23,358954,EMP0061,2026-07-05 19:19:45.538251,True
EMP0067,Sneha,Mehta,sneha.mehta67@enterpriseretail.com,Finance,Cashier,STR0007,2021-07-21,364567,EMP0061,2026-07-05 19:19:45.538256,True
EMP0068,Vikas,Reddy,vikas.reddy68@enterpriseretail.com,Finance,Cashier,STR0007,2016-04-15,335651,EMP0061,2026-07-05 19:19:45.538261,True
EMP0069,Amit,Joshi,amit.joshi69@enterpriseretail.com,Inventory,Inventory Executive,STR0007,2016-09-14,405733,EMP0061,2026-07-05 19:19:45.538266,True
EMP0070,Karan,Gupta,karan.gupta70@enterpriseretail.com,Sales,Sales Associate,STR0007,2021-04-12,363723,EMP0061,2026-07-05 19:19:45.538270,True
EMP0071,Arjun,Das,arjun.das71@enterpriseretail.com,Operations,Store Manager,STR0008,2021-05-08,900105,,2026-07-05 19:19:45.538309,True
EMP0072,Simran,Patel,simran.patel72@enterpriseretail.com,Operations,Store Supervisor,STR0008,2024-02-18,645171,EMP0071,2026-07-05 19:19:45.538315,True
EMP0073,Divya,Nair,divya.nair73@enterpriseretail.com,Sales,Senior Sales Associate,STR0008,2018-01-04,457187,EMP0071,2026-07-05 19:19:45.538322,True
EMP0074,Simran,Nair,simran.nair74@enterpriseretail.com,Sales,Sales Associate,STR0008,2023-12-25,314955,EMP0071,2026-07-05 19:19:45.538327,True
EMP0075,Riya,Singh,riya.singh75@enterpriseretail.com,Sales,Sales Associate,STR0008,2019-03-28,445334,EMP0071,2026-07-05 19:19:45.538332,True
EMP0076,Meera,Kapoor,meera.kapoor76@enterpriseretail.com,Sales,Sales Associate,STR0008,2022-07-16,387802,EMP0071,2026-07-05 19:19:45.538338,True
EMP0077,Rohit,Verma,rohit.verma77@enterpriseretail.com,Finance,Cashier,STR0008,2016-08-02,398450,EMP0071,2026-07-05 19:19:45.538342,True
EMP0078,Sanjay,Reddy,sanjay.reddy78@enterpriseretail.com,Finance,Cashier,STR0008,2018-08-26,309676,EMP0071,2026-07-05 19:19:45.538348,True
EMP0079,Sanjay,Khan,sanjay.khan79@enterpriseretail.com,Inventory,Inventory Executive,STR0008,2016-06-28,515239,EMP0071,2026-07-05 19:19:45.538353,True
EMP0080,Pooja,Joshi,pooja.joshi80@enterpriseretail.com,Sales,Sales Associate,STR0008,2025-01-20,412700,EMP0071,2026-07-05 19:19:45.538358,True
EMP0081,Riya,Reddy,riya.reddy81@enterpriseretail.com,Operations,Store Manager,STR0009,2023-12-18,1116609,,2026-07-05 19:19:45.538405,True
EMP0082,Neha,Das,neha.das82@enterpriseretail.com,Operations,Store Supervisor,STR0009,2018-01-26,744711,EMP0081,2026-07-05 19:19:45.538411,True
EMP0083,Karan,Nair,karan.nair83@enterpriseretail.com,Sales,Senior Sales Associate,STR0009,2025-02-14,538674,EMP0081,2026-07-05 19:19:45.538418,True
EMP0084,Amit,Gupta,amit.gupta84@enterpriseretail.com,Sales,Sales Associate,STR0009,2022-09-14,427307,EMP0081,2026-07-05 19:19:45.538423,True
EMP0085,Pooja,Kapoor,pooja.kapoor85@enterpriseretail.com,Sales,Sales Associate,STR0009,2024-06-04,432556,EMP0081,2026-07-05 19:19:45.538429,True
EMP0086,Pooja,Gupta,pooja.gupta86@enterpriseretail.com,Sales,Sales Associate,STR0009,2022-09-03,331884,EMP0081,2026-07-05 19:19:45.538433,True
EMP0087,Priya,Sharma,priya.sharma87@enterpriseretail.com,Finance,Cashier,STR0009,2024-02-25,429434,EMP0081,2026-07-05 19:19:45.538438,True
EMP0088,Priya,Mehta,priya.mehta88@enterpriseretail.com,Finance,Cashier,STR0009,2023-06-05,389820,EMP0081,2026-07-05 19:19:45.538443,True
EMP0089,Sanjay,Sharma,sanjay.sharma89@enterpriseretail.com,Inventory,Inventory Executive,STR0009,2017-12-10,410105,EMP0081,2026-07-05 19:19:45.538448,True
EMP0090,Divya,Iyer,divya.iyer90@enterpriseretail.com,Sales,Sales Associate,STR0009,2021-12-23,387616,EMP0081,2026-07-05 19:19:45.538452,True
EMP0091,Ananya,Das,ananya.das91@enterpriseretail.com,Operations,Store Manager,STR0010,2016-09-19,1014546,,2026-07-05 19:19:45.538493,True
EMP0092,Simran,Das,simran.das92@enterpriseretail.com,Operations,Store Supervisor,STR0010,2024-11-25,636538,EMP0091,2026-07-05 19:19:45.538499,True
EMP0093,Pooja,Singh,pooja.singh93@enterpriseretail.com,Sales,Senior Sales Associate,STR0010,2019-01-06,570669,EMP0091,2026-07-05 19:19:45.538506,True
EMP0094,Riya,Verma,riya.verma94@enterpriseretail.com,Sales,Sales Associate,STR0010,2023-09-11,383973,EMP0091,2026-07-05 19:19:45.538512,True
EMP0095,Meera,Singh,meera.singh95@enterpriseretail.com,Sales,Sales Associate,STR0010,2023-10-16,424474,EMP0091,2026-07-05 19:19:45.538517,True
EMP0096,Riya,Iyer,riya.iyer96@enterpriseretail.com,Sales,Sales Associate,STR0010,2023-11-05,379263,EMP0091,2026-07-05 19:19:45.538522,True
EMP0097,Priya,Sharma,priya.sharma97@enterpriseretail.com,Finance,Cashier,STR0010,2018-03-10,376320,EMP0091,2026-07-05 19:19:45.538527,True
EMP0098,Sneha,Iyer,sneha.iyer98@enterpriseretail.com,Finance,Cashier,STR0010,2022-04-20,312453,EMP0091,2026-07-05 19:19:45.538532,True
EMP0099,Akash,Kulkarni,akash.kulkarni99@enterpriseretail.com,Inventory,Inventory Executive,STR0010,2022-02-16,468972,EMP0091,2026-07-05 19:19:45.538537,True
EMP0100,Simran,Das,simran.das100@enterpriseretail.com,Sales,Sales Associate,STR0010,2017-06-14,331440,EMP0091,2026-07-05 19:19:45.538543,True
EMP0101,Rohit,Jain,rohit.jain101@enterpriseretail.com,Operations,Store Manager,STR0011,2023-08-05,1178489,,2026-07-05 19:19:45.538582,True
EMP0102,Harsh,Patel,harsh.patel102@enterpriseretail.com,Operations,Store Supervisor,STR0011,2021-05-28,578714,EMP0101,2026-07-05 19:19:45.538588,True
EMP0103,Nikhil,Iyer,nikhil.iyer103@enterpriseretail.com,Sales,Senior Sales Associate,STR0011,2023-02-19,559676,EMP0101,2026-07-05 19:19:45.538595,True
EMP0104,Vikas,Mehta,vikas.mehta104@enterpriseretail.com,Sales,Sales Associate,STR0011,2019-06-22,326519,EMP0101,2026-07-05 19:19:45.538600,True
EMP0105,Vikas,Mehta,vikas.mehta105@enterpriseretail.com,Sales,Sales Associate,STR0011,2018-08-12,400715,EMP0101,2026-07-05 19:19:45.538605,True
EMP0106,Divya,Reddy,divya.reddy106@enterpriseretail.com,Sales,Sales Associate,STR0011,2017-11-12,305446,EMP0101,2026-07-05 19:19:45.538610,True
EMP0107,Karan,Joshi,karan.joshi107@enterpriseretail.com,Finance,Cashier,STR0011,2022-02-10,419723,EMP0101,2026-07-05 19:19:45.538617,True
EMP0108,Amit,Singh,amit.singh108@enterpriseretail.com,Finance,Cashier,STR0011,2021-03-04,339022,EMP0101,2026-07-05 19:19:45.538622,True
EMP0109,Vikas,Iyer,vikas.iyer109@enterpriseretail.com,Inventory,Inventory Executive,STR0011,2016-12-07,472306,EMP0101,2026-07-05 19:19:45.538627,True
EMP0110,Amit,Joshi,amit.joshi110@enterpriseretail.com,Sales,Sales Associate,STR0011,2019-06-18,385748,EMP0101,2026-07-05 19:19:45.538632,True
EMP0111,Harsh,Nair,harsh.nair111@enterpriseretail.com,Operations,Store Manager,STR0012,2016-08-08,982867,,2026-07-05 19:19:45.538673,True
EMP0112,Priya,Iyer,priya.iyer112@enterpriseretail.com,Operations,Store Supervisor,STR0012,2019-10-24,692083,EMP0111,2026-07-05 19:19:45.538679,True
EMP0113,Simran,Khan,simran.khan113@enterpriseretail.com,Sales,Senior Sales Associate,STR0012,2022-11-21,486359,EMP0111,2026-07-05 19:19:45.538687,True
EMP0114,Amit,Sharma,amit.sharma114@enterpriseretail.com,Sales,Sales Associate,STR0012,2023-07-12,402655,EMP0111,2026-07-05 19:19:45.538692,True
EMP0115,Harsh,Kapoor,harsh.kapoor115@enterpriseretail.com,Sales,Sales Associate,STR0012,2023-11-20,388032,EMP0111,2026-07-05 19:19:45.538697,True
EMP0116,Neha,Reddy,neha.reddy116@enterpriseretail.com,Sales,Sales Associate,STR0012,2023-09-20,392260,EMP0111,2026-07-05 19:19:45.538702,True
EMP0117,Karan,Jain,karan.jain117@enterpriseretail.com,Finance,Cashier,STR0012,2021-09-24,435288,EMP0111,2026-07-05 19:19:45.538707,True
EMP0118,Sneha,Jain,sneha.jain118@enterpriseretail.com,Finance,Cashier,STR0012,2023-06-24,302167,EMP0111,2026-07-05 19:19:45.538711,True
EMP0119,Meera,Nair,meera.nair119@enterpriseretail.com,Inventory,Inventory Executive,STR0012,2017-05-15,529030,EMP0111,2026-07-05 19:19:45.538716,True
EMP0120,Rahul,Jain,rahul.jain120@enterpriseretail.com,Sales,Sales Associate,STR0012,2021-09-27,410027,EMP0111,2026-07-05 19:19:45.538721,True
EMP0121,Priya,Nair,priya.nair121@enterpriseretail.com,Operations,Store Manager,STR0013,2022-11-15,953417,,2026-07-05 19:19:45.538762,True
EMP0122,Divya,Verma,divya.verma122@enterpriseretail.com,Operations,Store Supervisor,STR0013,2017-12-22,700514,EMP0121,2026-07-05 19:19:45.538767,True
EMP0123,Akash,Kapoor,akash.kapoor123@enterpriseretail.com,Sales,Senior Sales Associate,STR0013,2023-08-19,499207,EMP0121,2026-07-05 19:19:45.538774,True
EMP0124,Arjun,Nair,arjun.nair124@enterpriseretail.com,Sales,Sales Associate,STR0013,2022-07-23,422466,EMP0121,2026-07-05 19:19:45.538781,True
EMP0125,Amit,Iyer,amit.iyer125@enterpriseretail.com,Sales,Sales Associate,STR0013,2022-06-09,315109,EMP0121,2026-07-05 19:19:45.538786,True
EMP0126,Akash,Reddy,akash.reddy126@enterpriseretail.com,Sales,Sales Associate,STR0013,2022-11-28,372934,EMP0121,2026-07-05 19:19:45.538791,True
EMP0127,Vikas,Joshi,vikas.joshi127@enterpriseretail.com,Finance,Cashier,STR0013,2018-05-22,313007,EMP0121,2026-07-05 19:19:45.538795,True
EMP0128,Nikhil,Gupta,nikhil.gupta128@enterpriseretail.com,Finance,Cashier,STR0013,2019-10-27,350171,EMP0121,2026-07-05 19:19:45.538800,True
EMP0129,Sneha,Singh,sneha.singh129@enterpriseretail.com,Inventory,Inventory Executive,STR0013,2017-01-16,457419,EMP0121,2026-07-05 19:19:45.538826,True
EMP0130,Pooja,Joshi,pooja.joshi130@enterpriseretail.com,Sales,Sales Associate,STR0013,2023-05-10,404727,EMP0121,2026-07-05 19:19:45.538832,True
EMP0131,Sneha,Iyer,sneha.iyer131@enterpriseretail.com,Operations,Store Manager,STR0014,2017-06-08,1114824,,2026-07-05 19:19:45.538877,True
EMP0132,Meera,Verma,meera.verma132@enterpriseretail.com,Operations,Store Supervisor,STR0014,2019-08-09,649833,EMP0131,2026-07-05 19:19:45.538883,True
EMP0133,Priya,Mehta,priya.mehta133@enterpriseretail.com,Sales,Senior Sales Associate,STR0014,2023-07-20,533624,EMP0131,2026-07-05 19:19:45.538890,True
EMP0134,Meera,Jain,meera.jain134@enterpriseretail.com,Sales,Sales Associate,STR0014,2018-02-21,373770,EMP0131,2026-07-05 19:19:45.538895,True
EMP0135,Ankit,Sharma,ankit.sharma135@enterpriseretail.com,Sales,Sales Associate,STR0014,2018-04-26,373586,EMP0131,2026-07-05 19:19:45.538900,True
EMP0136,Vikas,Sharma,vikas.sharma136@enterpriseretail.com,Sales,Sales Associate,STR0014,2018-04-05,448440,EMP0131,2026-07-05 19:19:45.538905,True
EMP0137,Meera,Kulkarni,meera.kulkarni137@enterpriseretail.com,Finance,Cashier,STR0014,2023-09-19,380334,EMP0131,2026-07-05 19:19:45.538910,True
